,accuracy_train,accuracy_valid,accuracy_test
1,0.3733546543443282,0.3534512540634011,0.3611298724145223
2,0.37316506339803507,0.34832000549181114,0.361386503521896
3,0.3851437256186358,0.3598949809056192,0.3639191433518126
4,0.38087004533648755,0.35878224903924444,0.36328739077980476
5,0.3877539217814632,0.36504402388824375,0.3695242431140451
6,0.38378277368905245,0.35283069492889724,0.3654308444519625
7,0.3827155203238086,0.3590974235879943,0.3672938242151494
8,0.3795954315619981,0.35563952139669236,0.36518700636417994
9,0.3778270322186918,0.3575334343579425,0.36539031022146157
10,0.384652076318743,0.3559199973880853,0.3686855589453246
11,0.37742897767289335,0.35864827945873995,0.3644634948372262
12,0.37813426426424535,0.3581033033848086,0.3681381650839536
